run_date,run_at,zone,target,model,model_label,covariate_case,context_hours,timestamp,forecast_mw,tso_forecast_mw,actual_mw,context_start,context_end
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-25 18:00:00+00:00,7279.75146484375,7231.174516667108,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-25 19:00:00+00:00,7077.2294921875,7005.796085353208,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-25 20:00:00+00:00,6545.560546875,6374.239478867812,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-25 21:00:00+00:00,6258.80322265625,6023.681259461957,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-25 22:00:00+00:00,6213.79541015625,6300.214425056603,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-25 23:00:00+00:00,6173.158203125,6434.377776506194,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 00:00:00+00:00,6033.9921875,5947.520158543861,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 01:00:00+00:00,6051.57568359375,5998.309765921781,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 02:00:00+00:00,6095.30908203125,6069.981431408002,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 03:00:00+00:00,6217.8671875,6250.0391919483245,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 04:00:00+00:00,6329.236328125,6375.737361172898,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 05:00:00+00:00,6441.1318359375,6368.6817710050855,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 06:00:00+00:00,6655.41796875,6644.5132480187385,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 07:00:00+00:00,6936.53955078125,7033.62642372593,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 08:00:00+00:00,7480.9716796875,7667.626146119623,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 09:00:00+00:00,7568.458984375,7478.36816519921,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 10:00:00+00:00,7431.12890625,7410.657319489293,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 11:00:00+00:00,7542.0927734375,7553.535183207809,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 12:00:00+00:00,7686.392578125,7875.443583963308,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 13:00:00+00:00,7638.60009765625,7657.028845446488,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 14:00:00+00:00,7677.33447265625,7903.053670082871,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 15:00:00+00:00,7462.4287109375,7293.306582803378,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 16:00:00+00:00,7437.197265625,7584.096495824211,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,load,tabpfn_online,TabPFN with covariates,Temp+tso_forecast,2208,2026-07-26 17:00:00+00:00,7337.552734375,7508.43359100099,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,solar,tabpfn_online,TabPFN with covariates,weather_4p+tso_forecast,2208,2026-07-25 18:00:00+00:00,160.11471557617188,153.10671462915553,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,solar,tabpfn_online,TabPFN with covariates,weather_4p+tso_forecast,2208,2026-07-25 19:00:00+00:00,4.627859115600586,0.0,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,solar,tabpfn_online,TabPFN with covariates,weather_4p+tso_forecast,2208,2026-07-25 20:00:00+00:00,4.093604564666748,7.898633579026571,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,solar,tabpfn_online,TabPFN with covariates,weather_4p+tso_forecast,2208,2026-07-25 21:00:00+00:00,4.547515392303467,16.40895955523998,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,solar,tabpfn_online,TabPFN with covariates,weather_4p+tso_forecast,2208,2026-07-25 22:00:00+00:00,6.281660556793213,25.65619411338611,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,solar,tabpfn_online,TabPFN with covariates,weather_4p+tso_forecast,2208,2026-07-25 23:00:00+00:00,3.899685859680176,0.7346934883758518,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,solar,tabpfn_online,TabPFN with covariates,weather_4p+tso_forecast,2208,2026-07-26 00:00:00+00:00,4.572290420532227,16.944187442709307,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
2026-07-25,2026-08-07 14:17:49+00:00,BE,solar,tabpfn_online,TabPFN with covariates,weather_4p+tso_forecast,2208,2026-07-26 01:00:00+00:00,9.471817016601562,49.095029495640134,,2026-04-24 18:00:00+00:00,2026-07-25 17:00:00+00:00
